Scientific Name,Common Name,Family,Growth Habit,Duration,Bloom Time,Bloom Color,Water Use,Light Requirement,Drought Tolerance,Larval Host Count,Photo Count,LBJ URL,Source Rows
Abutilon fruticosum,"Indian Mallow, Texas Indian Mallow",Malvaceae,Subshrub,Perennial,"Jun , Jul , Aug , Sep , Oct","Orange , Yellow",Low,Sun,,1,6,https://www.wildflower.org/plants/result.php?id_plant=ABFR3,224
Acer grandidentatum,"Bigtooth Maple, Big-toothed Maple, Uvalde Bigtooth Maple, Southwestern Bigtooth Maple, Canyon Maple, Sabinal Maple, Western Sugar Maple",Not listed in spreadsheet,Tree,Perennial,"Mar , Apr","Yellow , Green",Medium,Sun,,0,6,https://www.wildflower.org/plants/result.php?id_plant=ACGR3,243
Acer negundo,Box Elder,Sapindaceae,Tree,Perennial,"Mar , Apr","Yellow , Green , Brown",Medium,Sun,High,1,7,https://www.wildflower.org/plants/result.php?id_plant=ACNE2,244
Achillea millefolium,"Common Yarrow, Western Yarrow, Yarrow, Milfoil",Not listed in spreadsheet,Herb,Perennial,"Apr , May , Jun , Jul , Aug , Sep","White , Pink",Medium,"Sun , Part Shade",High,0,6,https://www.wildflower.org/plants/result.php?id_plant=ACMI2,33
Acleisanthes obtusa,Berlandier's Trumpet,Not listed in spreadsheet,Vine,Perennial,"Apr , May , Jun , Jul , Aug , Sep , Oct , Nov","White , Pink",Low,"Sun , Part Shade",Medium,0,4,https://www.wildflower.org/plants/result.php?id_plant=ACOB2,294
Acmella oppositifolia var. repens,Spotflower,Not listed in spreadsheet,Herb,Perennial,"Jul , Aug , Sep , Oct , Nov","Orange , Yellow , Green",Medium,Sun,,0,6,https://www.wildflower.org/plants/result.php?id_plant=ACOPR,34
Acourtia runcinata,"Featherleaf Desertpeony, Peonia",Asteraceae,Herb,Perennial,"Jan , Feb , Mar , Apr , May , Jun , Jul , Aug , Sep , Oct , Nov , Dec","Pink , Purple",Low,Sun,,0,6,https://www.wildflower.org/plants/result.php?id_plant=ACRU3,35
Acourtia wrightii,"Brownfoot, Pink Perezia",Not listed in spreadsheet,Herb,Perennial,"Mar , Apr , May , Jun , Jul , Aug , Sep , Oct , Nov","White , Pink",Low,Part Shade,,0,6,https://www.wildflower.org/plants/result.php?id_plant=ACWR5,36
Adiantum pedatum,Maidenhair Fern,Not listed in spreadsheet,Fern,Perennial,May–July,Not Applicable,Medium,"Part Shade , Shade",Low,0,6,https://www.wildflower.org/plants/result.php?id_plant=ADPE,2
Aesculus glabra,"Ohio Buckeye, Texas Buckeye, Fetid Buckeye, Horse Chestnut",Not listed in spreadsheet,Tree,Perennial,"Mar , Apr , May","Yellow , Green , Brown",Medium,"Sun , Part Shade , Shade",,0,6,https://www.wildflower.org/plants/result.php?id_plant=AEGL,245
Aesculus pavia,"Red Buckeye, Scarlet Buckeye, Firecracker Plant",Sapindaceae,Tree,"Perennial Habit: Shrub , Tree Root Type: Tap Leaf Retention: Deciduous Leaf Arrangement: Opposite Leaf Complexity: Palmate Leaf Shape: Elliptic Leaf Venation: Pinnate Leaf Pubescence: Glabrous , Tomentose Leaf Margin: Crenate , Serrate Leaf Apex: Acuminate Breeding System: Flowers Unisexual , Monoecious Inflorescence: Thyrse Fruit Type: Capsule , Caryopsis Size Notes: 10-40 feet, Texas specimens usually on the short end of that range, with those in central Texas commonly no more than 15 feet. Leaf: Opposite , palmately compound , with 5, rarely 7, leaflets; leaflets elliptic to ovate , pointed at the tip, tapering to the base, toothed , green and smooth on the upper surface, paler and finely hairy on the lower surface, up to 6 inches long, up to 3 inches wide. Flower: Numerous, red, in large, loosely-flowered clusters nearly 1 foot long. Fruit: Capsules spherical, up to 2 inches across, light brown, not prickly, containing 1 or 2 light reddish brown seeds.","Mar , Apr , May","Red , Yellow","Medium , High",Part Shade,Medium,0,6,https://www.wildflower.org/plants/result.php?id_plant=AEPA,246
Agave americana,Blue Agave (Century Plant),Not listed in spreadsheet,Succulent,Perennial,"Jun , Jul",Yellow,Low,Sun,,0,6,https://www.wildflower.org/plants/result.php?id_plant=AGAM,233
Ageratina havanensis,"Shrubby Boneset, White Mistflower, White Shrub Mistflower, Havana Snakeroot",Asteraceae,Shrub,Perennial,"Apr , May , Jun , Jul , Sep , Oct , Nov , Dec","White , Pink",Low,"Sun , Part Shade",,1,6,https://www.wildflower.org/plants/result.php?id_plant=AGHA4,176
Aloysia gratissima,"Whitebrush, Bee-brush, White-brush, Common Bee-brush, Beebrush, Privet Lippia",Verbenaceae,Shrub,Perennial,"Mar , Apr , May , Jun , Jul , Aug , Sep , Oct , Nov",White,Medium,"Sun , Part Shade",,0,6,https://www.wildflower.org/plants/result.php?id_plant=ALGR2,177
Amorpha canescens,Leadplant,Not listed in spreadsheet,Shrub,Perennial,"Jun , Jul","Blue , Purple",Low,"Sun , Part Shade",,0,6,https://www.wildflower.org/plants/result.php?id_plant=AMCA6,178
Amorpha fruticosa,"Indigo Bush, False Indigo Bush, False Indigo, Desert False Indigo",Not listed in spreadsheet,Shrub,Perennial,"Apr , May , Jun","Orange , Blue , Purple , Violet",Low,"Sun , Part Shade",,9,11,https://www.wildflower.org/plants/result.php?id_plant=AMFR,179
Amorpha roemeriana,"Texas Indigo Bush, Roemer's false indigo",Not listed in spreadsheet,Shrub,Perennial,Apr,Purple,Low,Part Shade,,0,6,https://www.wildflower.org/plants/result.php?id_plant=AMRO2,180
Amsonia ciliata,"Blue Amsonia, Fringed bluestar",Not listed in spreadsheet,Herb,Perennial,"Mar , Apr , May , Jun",Blue,Medium,Part Shade,,0,6,https://www.wildflower.org/plants/result.php?id_plant=AMCI,37
Andropogon gerardii,"Big Bluestem, Tall Bluestem, Turkeyfoot",Not listed in spreadsheet,Grass,Perennial,"Aug , Sep , Oct , Nov","Red , Blue , Brown","Low , Medium","Sun , Part Shade",High,3,8,https://www.wildflower.org/plants/result.php?id_plant=ANGE,5
Andropogon glomeratus,"Bushy Bluestem, Brushy Bluestem",Not listed in spreadsheet,Grass,Perennial,"Aug , Sep , Oct , Nov","White , Brown",High,Sun,,2,6,https://www.wildflower.org/plants/result.php?id_plant=ANGL2,6
Andropogon virginicus,Broomsedge Bluestem,Not listed in spreadsheet,Grass,Perennial,"Sep , Oct , Nov",Yellow,Medium,Part Shade,,1,7,https://www.wildflower.org/plants/result.php?id_plant=ANVI2,7
Anisacanthus quadrifidus var. wrightii,Flame Acanthus,Not listed in spreadsheet,Shrub,Perennial,"Jun , Jul , Aug , Sep , Oct","Red , Orange",Low,"Sun , Part Shade",High,3,7,https://www.wildflower.org/plants/result.php?id_plant=ANQUW,181
Aquilegia canadensis,"Eastern Red Columbine, Wild Red Columbine",Not listed in spreadsheet,Herb,Perennial,"Feb , Mar , Apr , May , Jun , Jul","Red , Pink , Yellow","Low , Medium","Part Shade , Shade",High,1,7,https://www.wildflower.org/plants/result.php?id_plant=AQCA,38
Arbutus xalapensis,Texas Madrone,Ericaceae,Tree,Perennial,"Feb , Mar , Apr",White,Medium,"Sun , Part Shade",,0,6,https://www.wildflower.org/plants/result.php?id_plant=ARXA80,247
Argemone polyanthemos,White Prickly Poppy,Papaveraceae,Herb,Annual,"Apr , May , Jun , Jul , Aug , Sep , Oct",White,Low,Sun,,0,6,https://www.wildflower.org/plants/result.php?id_plant=ARPO2,39
Argemone sanguinea,"Red Pricklypoppy, Rose Prickly Poppy, Red Prickly Poppy",Not listed in spreadsheet,Herb,Annual,"Feb , Mar , Apr , May","Red , Pink",Low,Part Shade,,0,6,https://www.wildflower.org/plants/result.php?id_plant=ARSA4,40
Aristida purpurea,"Purple Threeawn, Purple 3-awn, Purple Three-awn, Red Threeawn",Poaceae,Grass,Annual,"Apr , May , Jun , Jul , Aug , Sep , Oct",Purple,Low,Sun,High,2,6,https://www.wildflower.org/plants/result.php?id_plant=ARPU9,8
Aristolochia erecta,Swanflower,Aristolochiaceae,Herb,Perennial,"Apr , May , Jun , Jul , Aug , Sep , Oct","Purple , Brown","Low , Medium","Sun , Part Shade",,2,7,https://www.wildflower.org/plants/result.php?id_plant=ARER,41
Asclepias asperula,"Antelope-horns, Spider Milkweed, Green-flowered Milkweed, Spider Antelope-horns, Antelope Horns",Apocynaceae,Herb,Perennial,"Mar , Apr , May , Jun , Jul , Aug , Sep , Oct","White , Green",Medium,Sun,,4,8,https://www.wildflower.org/plants/result.php?id_plant=ASAS,42
Asclepias incarnata,"Swamp Milkweed, Pink Milkweed",Not listed in spreadsheet,Herb,Perennial,"Jun , Jul , Aug , Sep , Oct","Pink , Purple",High,"Sun , Part Shade",,3,8,https://www.wildflower.org/plants/result.php?id_plant=ASIN,43
Asclepias oenotheroides,"Zizotes Milkweed, Hierba De Zizotes, Side-cluster Milkweed, Longhorn Milkweed, Primrose Milkweed, Lindheimer's Milkweed",Apocynaceae,Herb,Perennial,"Mar , Apr , May , Jun , Jul , Aug , Sep , Oct",Green,Low,Sun,,1,6,https://www.wildflower.org/plants/result.php?id_plant=ASOE,44
Asclepias texana,Texas Milkweed,Apocynaceae,Herb,Perennial,"May , Jun , Jul , Aug , Sep",White,Low,Sun,,0,6,https://www.wildflower.org/plants/result.php?id_plant=ASTE,45
Asclepias tuberosa,"Butterflyweed, Butterfly Weed, Butterfly Milkweed, Orange Milkweed, Pleurisy Root, Chigger Flower, Chiggerweed",Apocynaceae,Herb,Perennial,"May , Jun , Jul , Aug , Sep","Orange , Yellow",Low,Sun,High,4,8,https://www.wildflower.org/plants/result.php?id_plant=ASTU,46
Asclepias viridis,"Green Milkweed, Spider Milkweed",Apocynaceae,Herb,Perennial,"Apr , May , Jun , Jul , Aug , Sep","White , Yellow , Green , Purple",Low,Sun,,0,6,https://www.wildflower.org/plants/result.php?id_plant=ASVI2,47
Baptisia bracteata,Wild Indigo,Not listed in spreadsheet,Herb,Perennial,"May , Jun","White , Yellow",Medium,"Sun , Part Shade",High,0,6,https://www.wildflower.org/plants/result.php?id_plant=BABR2,48
Berlandiera lyrata,"Chocolate Daisy, Chocolate Flower, Lyreleaf Greeneyes, Green-eyed Lyre Leaf",Not listed in spreadsheet,Herb,Perennial,"Apr , May , Jun , Jul , Aug , Sep , Oct , Nov",Yellow,Low,"Sun , Part Shade",,0,6,https://www.wildflower.org/plants/result.php?id_plant=BELY,49
Bernardia myricifolia,Mouse Ears,Not listed in spreadsheet,Shrub,Perennial,"Apr , May , Oct , Nov",Yellow,Low,"Full Sun, Part Shade",,0,6,https://www.wildflower.org/plants/result.php?id_plant=BEMY,182
Bothriochloa laguroides,"Silver Bluestem, Silver Beardgrass",Not listed in spreadsheet,Grass,Perennial,"May , Jun , Jul , Aug , Sep , Oct , Nov",White,Low,Sun,,0,6,https://www.wildflower.org/plants/result.php?id_plant=BOLA2,9
Bouteloua curtipendula,"Sideoats Grama, Banderilla, Banderita, Navajita",Not listed in spreadsheet,Grass,Perennial,"Jun , Jul , Aug , Sep , Oct , Nov","Red , Orange , Yellow",Medium,"Sun , Part Shade",High,8,12,https://www.wildflower.org/plants/result.php?id_plant=BOCU,10
Bouteloua dactyloides,"Buffalograss, Buffalo Grass",Poaceae,Grass,Perennial,"Apr , May , Jun , Jul , Aug , Sep , Oct , Nov , Dec",Yellow,"Low , Medium",Sun,High,2,7,https://www.wildflower.org/plants/result.php?id_plant=BODA2,11
Bouteloua gracilis,Blue Grama,Not listed in spreadsheet,Grass,Perennial,"Jul , Aug , Sep , Oct",Yellow,"Low , Medium",Sun,High,7,12,https://www.wildflower.org/plants/result.php?id_plant=BOGR2,12
Bouteloua rigidiseta,Texas Grama,Poaceae,Grass,Perennial,"Apr , May , Jun , Jul , Aug , Sep , Oct , Nov","Yellow , Green , Brown",Low,Sun,,2,6,https://www.wildflower.org/plants/result.php?id_plant=BORI,13
Brickellia eupatorioides,False Boneset,Not listed in spreadsheet,Herb,Perennial,"May , Jun , Jul , Aug , Sep , Oct , Nov","White , Pink , Yellow , Green",Medium,Sun,,0,6,https://www.wildflower.org/plants/result.php?id_plant=BREU,50
Callicarpa americana,"American Beautyberry, French Mulberry",Lamiaceae,Shrub,Perennial,"May , Jun , Jul","White , Pink",Low,Part Shade,,0,6,https://www.wildflower.org/plants/result.php?id_plant=CAAM2,183
Callirhoe involucrata,"Winecup, Purple Poppy Mallow",Malvaceae,Herb,Perennial,"Mar , Apr , May , Jun","White , Pink , Purple",Medium,"Sun , Part Shade",,1,7,https://www.wildflower.org/plants/result.php?id_plant=CAIN2,51
Calylophus berlandieri,"Berlandier's Sundrops, Square-bud Primrose, Sundrops",Not listed in spreadsheet,Herb,Perennial,"Mar , Apr , May , Jun , Jul , Aug , Sep",Yellow,Low,"Sun , Part Shade",,0,6,https://www.wildflower.org/plants/result.php?id_plant=CABE6,52
Calyptocarpus vialis,Horseherb,Asteraceae,Herb,"Perennial Habit: Herb Leaf Retention: Semi-evergreen Leaf Arrangement: Opposite Leaf Complexity: Simple Leaf Shape: Deltoid Leaf Pubescence: Strigose Leaf Margin: Serrate Inflorescence: Axillary Size Notes: 6-12 inches high Leaf: medium green Fruit: Fruit is a cypsela (pl. cypselae). Though technically incorrect, the fruit is often referred to as an achene.","Mar , Apr , May , Jun , Jul , Aug , Sep , Oct , Nov",Yellow,"Low , Medium","Sun , Part Shade , Shade",High,0,6,https://www.wildflower.org/plants/result.php?id_plant=CAVI2,53
Campsis radicans,"Trumpet Creeper, Trumpet Vine, Common Trumpet Creeper, Cow Vine, Foxglove Vine, Hellvine, Devil's Shoestring",Bignoniaceae,Vine,Perennial,"Jun , Jul , Aug , Sep","Red , Orange , Yellow",Low,Sun,High,2,7,https://www.wildflower.org/plants/result.php?id_plant=CARA2,295
Capsicum annuum,"Chile Tepin, Chile Pequin, Chiltepin, Chile Petin, Bird Pepper, Turkey Pepper, Cayenne Pepper",Not listed in spreadsheet,Herb,"Annual , Perennial","May , Jun , Jul , Aug , Sep , Oct",White,Low,"Sun , Part Shade , Shade",,0,6,https://www.wildflower.org/plants/result.php?id_plant=CAAN4,54
Carex blanda,"Eastern Woodland Sedge, Creek Sedge, Common Wood Sedge",Not listed in spreadsheet,Herb,Perennial,"Mar , Apr , May , Jun",Green,High,"Sun , Part Shade , Shade",,0,6,https://www.wildflower.org/plants/result.php?id_plant=CABL,55
Carex cherokeensis,Cherokee Sedge,Not listed in spreadsheet,Herb,Perennial,"Apr , May , Jun",Not Applicable,Medium,Part Shade,,0,6,https://www.wildflower.org/plants/result.php?id_plant=CACH3,56
Carex emoryi,"Emory's Sedge, Emory Sedge",Not listed in spreadsheet,Herb,Perennial,"Jul , Aug","White , Green , Brown",Medium,"Sun , Part Shade",,0,6,https://www.wildflower.org/plants/result.php?id_plant=CAEM2,57
Carex perdentata,"Sand Sedge, Meadow Sedge",Not listed in spreadsheet,Herb,Perennial,"Mar , Apr , May",Not Applicable,Low,Sun,,0,1,https://www.wildflower.org/plants/result.php?id_plant=CAPE40,58
Carex texensis,Texas Sedge,Not listed in spreadsheet,Herb,Perennial,"Mar , Apr , May",Not Applicable,Medium,"Sun , Part Shade",,0,6,https://www.wildflower.org/plants/result.php?id_plant=CATE7,59
Carya illinoinensis,Pecan,Juglandaceae,Tree,Perennial,"Mar , Apr , May",Yellow,High,Sun,,2,7,https://www.wildflower.org/plants/result.php?id_plant=CAIL2,248
Celtis ehrenbergiana,Desert (Spiny) Hackberry,Not listed in spreadsheet,Shrub,Perennial,"Feb , Mar , Apr , May","White , Green",Low,"Sun , Part Shade",,2,7,https://www.wildflower.org/plants/result.php?id_plant=CEEH,184
Cephalanthus occidentalis,"Common Buttonbush, Buttonbush, Button Willow, Honey Bells, Honeybells, Honey Balls, Honeyballs, Button-bush",Rubiaceae,Shrub,Perennial,"Jun , Jul , Aug , Sep","White , Pink",High,"Part Shade , Shade",,2,8,https://www.wildflower.org/plants/result.php?id_plant=CEOC2,185
Cercis canadensis var. mexicana,Mexican Redbud,Not listed in spreadsheet,Tree,Perennial,"Feb , Mar , Apr","Pink , Purple","Low , Medium","Sun , Part Shade",High,1,6,https://www.wildflower.org/plants/result.php?id_plant=CECAM,249
Cercis canadensis var. texensis,Texas Redbud,Not listed in spreadsheet,Tree,Perennial,"Mar , Apr","White , Pink , Purple","Low , Medium","Sun , Part Shade","Medium , High",1,6,https://www.wildflower.org/plants/result.php?id_plant=CECAT,250
Chaetopappa ericoides,Rose Heath,Not listed in spreadsheet,Herb,Perennial,"Apr , May , Jun , Jul , Aug",White,Dry,Full Sun,,0,6,https://www.wildflower.org/plants/result.php?id_plant=CHER2,60
Chamaecrista fasciculata,"Partridge Pea, Sleepingplant, Sensitive Plant",Fabaceae,Herb,Annual,"Jun , Jul , Aug , Sep , Oct",Yellow,Medium,"Sun , Part Shade",,5,8,https://www.wildflower.org/plants/result.php?id_plant=CHFA2,61
Chasmanthium latifolium,"Inland Sea Oats, Indian Wood Oats, Wild Oats, River Oats, Flathead Oats, Upland Oats, Upland Sea Oats",Poaceae,Grass,Perennial,"Jun , Jul , Aug , Sep",Green,Medium,"Part Shade , Shade",,3,6,https://www.wildflower.org/plants/result.php?id_plant=CHLA5,14
Chilopsis linearis,"Desert Willow, Flowering Willow, Willow-leaved Catalpa, Willowleaf Catalpa, Bow Willow, Flor De Mimbre, Mimbre",Bignoniaceae,Tree,Perennial,"Apr , May , Jun , Jul , Aug , Sep , Oct","White , Pink , Purple , Violet",Low,Sun,High,1,6,https://www.wildflower.org/plants/result.php?id_plant=CHLI2,251
Chloracantha spinosa,"Spiny Chloracantha, Mexican Devil-weed",Not listed in spreadsheet,Shrub,Perennial,"May , Jun , Jul , Aug , Sep , Oct , Nov , Dec",White,Medium,"Sun, Part Shade",,0,6,https://www.wildflower.org/plants/result.php?id_plant=CHSP11,186
Chrysactinia mexicana,Damianita,Not listed in spreadsheet,Subshrub,Perennial,"Mar , Apr , May , Jun , Jul , Aug , Sep , Oct , Nov",Yellow,Low,Sun,High,0,6,https://www.wildflower.org/plants/result.php?id_plant=CHME3,225
Clematis drummondii,Old Man's Beard,Ranunculaceae,Vine,Perennial,"Apr , May , Jun , Jul , Aug , Sep",White,Low,"Sun , Part Shade",,2,7,https://www.wildflower.org/plants/result.php?id_plant=CLDR,296
Clematis pitcheri,"Purple Leatherflower, Purple Clematis, Leatherflower, Bluebill, Bellflower Clematis, Pitcher's Clematis",Ranunculaceae,Vine,Perennial,"May , Jun , Jul , Aug , Sep",Purple,Medium,"Sun , Part Shade",,0,6,https://www.wildflower.org/plants/result.php?id_plant=CLPI,297
Clematis texensis,"Scarlet Clematis, Scarlet Leatherflower, Texas Clematis",Ranunculaceae,Vine,Perennial,"Mar , Apr , May , Jun , Jul",Red,Low,Part Shade,,0,6,https://www.wildflower.org/plants/result.php?id_plant=CLTE2,298
Cocculus carolinus,Carolina Snailseed,Not listed in spreadsheet,Vine,Perennial,"Jun , Jul , Aug",Green,Low,Part Shade,,0,6,https://www.wildflower.org/plants/result.php?id_plant=COCA,299
Colubrina texensis,"Texas Hogplum, Texas Hog Plum",Rhamnaceae,Shrub,Perennial,"May , Jun , Jul",Green,Low,Part Shade,,0,10,https://www.wildflower.org/plants/result.php?id_plant=COTE6,"187, 313"
Commelina erecta,"Dayflower, Widow's Tears, White-mouth Dayflower, Whitemouth Dayflower",Commelinaceae,Herb,Perennial,"May , Jun , Jul , Aug , Sep , Oct",Blue,Medium,Part Shade,,0,6,https://www.wildflower.org/plants/result.php?id_plant=COER,62
Condalia hookeri,Brasil,Rhamnaceae,Shrub,Perennial,"Mar , Apr , May , Jun , Jul , Aug , Sep , Oct",Green,Low,Part Shade,,2,7,https://www.wildflower.org/plants/result.php?id_plant=COHO,188
Conoclinium coelestinum,"Blue Mistflower, Wild Ageratum, Blue Boneset, Gregg's Mistflower, Palmleaf Thoroughwort, Palm-leaf Mistflower, Palm-leaf Thoroughwort, Purple Palmleaf Mistflower, Purple Palmleaf Eupatorium",Not listed in spreadsheet,Herb,Perennial,"Jul , Aug , Sep , Oct , Nov","Blue , Purple",Medium,"Sun , Part Shade",,0,11,https://www.wildflower.org/plants/result.php?id_plant=COCO13,"63, 64"
Coreopsis basalis,"Goldenmane Tickseed, Golden-wave",Asteraceae,Herb,Annual,"Jun , Jul",Yellow,Low,Sun,,0,6,https://www.wildflower.org/plants/result.php?id_plant=COBA2,65
Coreopsis lanceolata,"Lanceleaf Coreopsis, Lance-leaved Coreopsis, Lanceleaf Tickseed, Sand Coreopsis",Not listed in spreadsheet,Herb,Perennial,"Apr , May , Jun",Yellow,Medium,"Sun , Part Shade , Shade",,0,6,https://www.wildflower.org/plants/result.php?id_plant=COLA5,66
Cornus drummondii,"Roughleaf Dogwood, Drummond's Dogwood, Rough-leaf Dogwood",Cornaceae,"Shrub, Tree",Perennial,"Apr , May , Jun , Jul",White,Low,"Part Shade , Shade",,0,6,https://www.wildflower.org/plants/result.php?id_plant=CODR,212
Cotinus obovatus,"American Smoke Tree, Texas Smoke Tree, Wild Smoke Tree, Smoke Tree, Smokebush, Chittamwood",Not listed in spreadsheet,Tree,Perennial,"Apr , May","Pink , Yellow , Purple",Low,"Sun , Part Shade",High,0,6,https://www.wildflower.org/plants/result.php?id_plant=COOB2,252
Croton texensis,"Texas Croton, Doveweed, Texas Goatweed",Euphorbiaceae,Herb,Annual,"Jun , Jul , Aug , Sep , Oct , Nov",White,Dry–Medium,Sun,,2,7,https://www.wildflower.org/plants/result.php?id_plant=CRTE4,67
Cynanchum barbigerum,"Cynanchum, Bearded Swallow-wort, Thicket Threadvine",Not listed in spreadsheet,Vine,Perennial,"Mar , Apr , May , Jun , Jul",White,Low,Sun,,0,6,https://www.wildflower.org/plants/result.php?id_plant=CYBA,300
Dalea aurea,"Golden Dalea, Golden Prairie Clover",Not listed in spreadsheet,Herb,Perennial,"Apr , May , Jun",Yellow,Dry–Medium,Sun,,0,6,https://www.wildflower.org/plants/result.php?id_plant=DAAU,68
Dalea frutescens,"Black Dalea, Black Prairie Clover",Not listed in spreadsheet,Subshrub,Perennial,"Jul , Aug , Sep , Oct",Purple,Low,Sun,,1,6,https://www.wildflower.org/plants/result.php?id_plant=DAFR2,226
Dalea purpurea,Purple Prairie Clover,Not listed in spreadsheet,Herb,Perennial,"Jun , Jul , Aug , Sep",Purple,Low,Sun,High,0,6,https://www.wildflower.org/plants/result.php?id_plant=DAPU5,69
Dasylirion texanum,"Texas Sotol, Sotol",Asparagaceae,Succulent,Perennial,"Jun , Jul",Yellow,Low,Sun,,0,6,https://www.wildflower.org/plants/result.php?id_plant=DATE3,234
Datura wrightii,"Jimsonweed, Sacred Thorn-apple, Thorn-apple, Angel Trumpet, Sacred Datura, Western Jimson Weed",Not listed in spreadsheet,Herb,Perennial,"May , Jun , Jul , Aug , Sep , Oct , Nov",White,Medium,"Sun , Part Shade",,2,6,https://www.wildflower.org/plants/result.php?id_plant=DAWR2,70
Delphinium carolinianum,"Larkspur, Carolina larkspur",Ranunculaceae,Herb,Perennial,"Apr , May , Jun , Jul","White , Blue , Violet",Low,Part Shade,,0,6,https://www.wildflower.org/plants/result.php?id_plant=DECA3,71
Dermatophyllum secundiflorum,Texas Mountain Laurel,Fabaceae,"Shrub, Tree",Perennial,"Feb , Mar , Apr","Blue , Purple","Low , Medium","Sun , Part Shade",High,0,6,https://www.wildflower.org/plants/result.php?id_plant=DESE5,213
Desmanthus illinoensis,"Illinois Bundleflower, Bundleflower, Prairie Bundle Flower, Prickleweed, Illinois Desmanthus, Prairie Mimosa",Fabaceae,Herb,Perennial,"May , Jun , Jul , Aug , Sep",White,Medium,Sun,,0,6,https://www.wildflower.org/plants/result.php?id_plant=DEIL,72
Dichondra carolinensis,"Carolina Ponyfoot, Ponyfoot",Convolvulaceae,Herb,Perennial,"Mar , Apr , May , Jun , Jul , Aug , Sep","White , Green",Medium,Part Shade,,0,6,https://www.wildflower.org/plants/result.php?id_plant=DICA3,73
Diospyros texana,"Texas Persimmon, Mexican Persimmon, Black Persimmon, Chapote, Chapote Prieto",Ebenaceae,Tree,Perennial,"Feb , Mar , Apr","White , Green",Low,"Sun , Part Shade",High,3,7,https://www.wildflower.org/plants/result.php?id_plant=DITE3,253
Diospyros virginiana,"Common Persimmon, Eastern Persimmon, Possumwood, Date Plum, Winter Plum, Jove's Fruit",Ebenaceae,Tree,Perennial,"Apr , May , Jun","Yellow , Green",Medium,"Sun , Part Shade",,1,7,https://www.wildflower.org/plants/result.php?id_plant=DIVI5,254
Dracopis amplexicaulis,"Clasping Coneflower, Clasping-leaf Coneflower",Not listed in spreadsheet,Herb,Annual,"Apr , May , Jun , Jul",Yellow,High,Part Shade,,0,6,https://www.wildflower.org/plants/result.php?id_plant=DRAM,74
Dyschoriste linearis,"Snake Herb, Polkadots, Narrowleaf Dyschoriste",Acanthaceae,Herb,Perennial,"Apr , May , Jun , Jul , Aug , Sep , Oct",Purple,Low,Sun,,0,6,https://www.wildflower.org/plants/result.php?id_plant=DYLI,75
Echinacea angustifolia,"Black Samson, Black Samson Echinacea, Narrow-leaf Coneflower",Asteraceae,Herb,Perennial,"May , Jun , Jul","Pink , Purple",Low,"Sun , Part Shade",,0,6,https://www.wildflower.org/plants/result.php?id_plant=ECAN2,76
Ehretia anacua,"Anacua, Sugarberry Anacua, Anaqua, Anacahuita, Knockaway, Knackaway, Sandpaper Tree, Manzanita, Manzanillo, Tlalahuacate",Boraginaceae,Tree,Perennial,"Feb , Mar , Apr",White,Low,"Sun , Part Shade",,1,6,https://www.wildflower.org/plants/result.php?id_plant=EHAN,255
Elymus canadensis,Canada Wildrye,Not listed in spreadsheet,Grass,Perennial,"Mar , Apr , May , Jun","Yellow , Green , Brown",Medium,"Sun , Part Shade",High,2,7,https://www.wildflower.org/plants/result.php?id_plant=ELCA4,15
Engelmannia peristenia,"Engelmann's Daisy, Engelmann Daisy, Cutleaf Daisy",Asteraceae,Herb,Perennial,"Mar , Apr , May , Jun , Jul",Yellow,Medium,Sun,,0,6,https://www.wildflower.org/plants/result.php?id_plant=ENPE4,77
Equisetum hyemale,"Scouring-rush Horsetail, Horsetail, Scouring Rush, Canuela",Not listed in spreadsheet,Fern,Perennial,"Jan , Feb , Mar , Apr , May , Jun , Jul , Aug , Sep , Oct , Nov , Dec",Not Applicable,Medium,"Sun , Part Shade , Shade",,0,6,https://www.wildflower.org/plants/result.php?id_plant=EQHY,3
Eragrostis hirsuta,Big Top Love Grass,Not listed in spreadsheet,Grass,Perennial,"Jun , Jul , Aug , Sep , Oct","Green , Purple , Brown",Dry to Moist,Full Sun,,0,6,https://www.wildflower.org/plants/result.php?id_plant=ERHI,16
Eragrostis spectabilis,"Purple Lovegrass, Purple Love Grass, Purple Plains Lovegrass, Tumblegrass, Petticoat Climber",Not listed in spreadsheet,Grass,Perennial,"Aug , Sep , Oct","Red , Purple",Low,Sun,,0,1,https://www.wildflower.org/plants/result.php?id_plant=ERSP,17
Eragrostis trichodes,"Sand Love Grass, Sand lovegrass",Not listed in spreadsheet,Grass,Perennial,"Apr , May",Yellow,Medium,Part Shade,,0,0,https://www.wildflower.org/plants/result.php?id_plant=ERTR3,18
Erigeron philadelphicus,Philadelphia Fleabane,Not listed in spreadsheet,Herb,Biennial,"Mar , Apr , May , Jun","White , Yellow , Purple",Medium,Part Shade,,1,7,https://www.wildflower.org/plants/result.php?id_plant=ERPH,78
Eriochloa sericea,Texas Cupgrass,Not listed in spreadsheet,Grass,Perennial,"May , Jun , Jul , Aug , Sep , Oct",Not Applicable,Medium,Sun,,0,6,https://www.wildflower.org/plants/result.php?id_plant=ERSE5,19
Eriogonum longifolium,"Longleaf Buckwheat, Longleaf Wild Buckwheat",Polygonaceae,Herb,Perennial,"Jun , Jul , Aug , Sep","White , Green",Low,Sun,,0,6,https://www.wildflower.org/plants/result.php?id_plant=ERLO5,79
