Scientific Name,Common Name,Family,Growth Habit,Duration,Bloom Time,Bloom Color,Water Use,Light Requirement,Drought Tolerance,Larval Host Count,Photo Count,LBJ URL,Source Rows
Sapindus saponaria var. drummondii,"Wingleaf Soapberry, Soapberry, Wild China Tree",Not listed in spreadsheet,Tree,Perennial,"May , Jun",White,Low,"Sun , Part Shade",High,1,7,https://www.wildflower.org/plants/result.php?id_plant=SASAD,286
Saururus cernuus,"Lizard's Tail, Lizard Tail, Breastweed, Water Dragon",Saururaceae,Herb,Perennial,"Apr , May , Jun , Jul , Aug",White,High,"Part Shade , Shade",,0,6,https://www.wildflower.org/plants/result.php?id_plant=SACE,148
Schizachyrium scoparium,"Little Bluestem, Popotillo Azul",Not listed in spreadsheet,Grass,Perennial,"Jun , Jul , Aug , Sep , Oct , Nov , Dec","White , Green , Brown",Low,"Sun , Part Shade",High,9,10,https://www.wildflower.org/plants/result.php?id_plant=SCSC,27
Scutellaria ovata,"Heartleaf Skullcap, Heart-leaf Skullcap",Lamiaceae,Herb,Perennial,"Apr , May , Jun","Blue , Violet",Medium,"Part Shade , Shade",,0,6,https://www.wildflower.org/plants/result.php?id_plant=SCOV,149
Scutellaria wrightii,"Wright's Skullcap, Bushy Skullcap, Shrubby Skullcap",Not listed in spreadsheet,Herb,Perennial,"Mar , Apr , May , Jun , Jul","Blue , Violet",Low,"Sun , Part Shade",,0,6,https://www.wildflower.org/plants/result.php?id_plant=SCWR2,150
Senegalia greggii,"Gregg Acacia, Gregg's Acacia, Gregg Catclaw Acacia, Gregg's Catclaw Acacia, Gregg Catclaw, Gregg's Catclaw, Texas Catclaw Acacia, Texas Catclaw, Long-flowered Catclaw Acacia, Longflower Catclaw Acacia, Long-flowered Catclaw, Longflower Catclaw, Catclaw Acacia, Catclaw, Devil's Claw, Uña De Gato",Not listed in spreadsheet,"Shrub, Tree",Perennial,"Apr , May , Jun , Jul , Aug , Sep , Oct","White , Yellow",Low,Sun,,0,6,https://www.wildflower.org/plants/result.php?id_plant=SEGR4,220
Senegalia wrightii,"Wright Acacia, Wright's Acacia, Catclaw Acacia, Catclaw",Not listed in spreadsheet,"Shrub, Tree",Perennial,"Mar , Apr , May","White , Yellow",Low,"Sun , Part Shade",High,2,7,https://www.wildflower.org/plants/result.php?id_plant=SEWR4,221
Senna lindheimeriana,"Lindheimer's Senna, Velvet Leaf Senna, Velvetleaf Senna, Velvet-leaf Wild Sensitive-plant, Puppy-dog Ears",Fabaceae,Shrub,Perennial,"Aug , Sep , Oct",Yellow,Low,"Sun , Part Shade",,2,7,https://www.wildflower.org/plants/result.php?id_plant=SELI4,211
Senna roemeriana,"Twoleaf Senna, Two Leaved Senna",Fabaceae,Herb,Perennial,"May , Jun , Jul , Aug , Sep , Oct",Yellow,Low,Part Shade,,1,6,https://www.wildflower.org/plants/result.php?id_plant=SERO8,151
Setaria scheelei,"Southwestern Bristlegrass, Scheele's Bristlegrass, Scheele's Foxtail Grass, Foxtail Grass",Poaceae,Grass,Perennial,"May , Jun , Jul , Aug , Sep , Oct , Nov","White , Green","Low , Medium","Part Shade , Shade",,1,6,https://www.wildflower.org/plants/result.php?id_plant=SESC2,28
Sideroxylon lanuginosum,"Gum Bumelia, Gum Bully, Woollybucket Bumelia, Woolly Bumelia, Gum Woollybucket, Woolly Buckthorn, Chittamwood, Shittamwood, Gum Elastic, Coma, Black Haw",Sapotaceae,Tree,Perennial,"Jun , Jul",White,"Low , Medium","Sun , Part Shade",,0,6,https://www.wildflower.org/plants/result.php?id_plant=SILA20,287
Silphium albiflorum,"White Rosinweed, White-flowered Rosinweed, Compass Plant",Asteraceae,Herb,Perennial,"May , Jun , Jul",White,Low,Sun,,0,6,https://www.wildflower.org/plants/result.php?id_plant=SIAL,152
Simsia calva,Awnless Bushsunflower,Not listed in spreadsheet,Herb,Perennial,"May , Jun , Jul , Aug , Sep , Oct , Nov","Orange , Yellow",,Sun,,0,6,https://www.wildflower.org/plants/result.php?id_plant=SICA7,317
Sisyrinchium angustifolium,"Narrowleaf Blue-eyed Grass, Narrow-leaf Blue-eyed-grass, Bermuda Blue-eyed Grass, Blue-eyed Grass",Not listed in spreadsheet,Herb,Perennial,"Mar , Apr , May , Jun , Jul",Blue,Medium,"Sun , Part Shade",,0,6,https://www.wildflower.org/plants/result.php?id_plant=SIAN3,153
Solanum triquetrum,"Texas Nightshade, Hierba Mora",Solanaceae,Herb,Perennial,"Jan , Feb , Mar , Apr , May , Jun , Jul , Aug , Sep , Oct , Nov , Dec","White , Violet",Medium,"Sun, Part Shade",,0,6,https://www.wildflower.org/plants/result.php?id_plant=SOTR2,154
Solidago altissima,"Tall Goldenrod, Late Goldenrod, Canadian Goldenrod, Canada Goldenrod",Not listed in spreadsheet,Herb,Perennial,"Aug , Sep , Oct , Nov",Yellow,Medium,"Sun , Part Shade",,0,6,https://www.wildflower.org/plants/result.php?id_plant=SOAL6,155
